,Unique_ID,Population,Pop_Density,Nearest_Hospital,Nearest_BigCity,New_Cases,New_Deaths,day_before_cases_normalized,day_before_deaths_normalized
51,San Francisco_California,881549,18756.3617021277,0.0,0.0,0.0,0.0,0.0,0.0
52,Santa Clara_California,1927852,1493.3013168086802,0.35576286930777795,0.9063116188029559,0.0,0.0,0.0,0.0
53,Cook_Illinois,5150233,5444.22093023256,1.17313744780389,0.0,0.0,0.0,0.0,0.0
54,Suffolk_Massachusetts,803907,13860.465517241399,0.676874266475545,0.0,0.0,0.0,0.0,0.0
55,Snohomish_Washington,822083,393.341148325359,1.8662153908988601,10.3192622161909,0.0,0.0,0.0,0.0
56,Maricopa_Arizona,4485414,486.276452732003,3.97628370379003,5.28459521481004,0.0,0.0,0.0,0.0
57,Los Angeles_California,10039107,2472.68645320197,0.0,0.763662208380237,0.0,0.0,0.0,0.0
58,Orange_California,3175692,3349.88607594937,0.763662208380237,0.0,0.0,0.0,0.0,0.0
59,San Francisco_California,881549,18756.3617021277,0.0,0.0,0.0,0.0,0.0,0.0
60,Santa Clara_California,1927852,1493.3013168086802,0.35576286930777795,0.9063116188029559,0.0,0.0,0.0,0.0
61,Cook_Illinois,5150233,5444.22093023256,1.17313744780389,0.0,0.0,0.0,0.0,0.0
62,Suffolk_Massachusetts,803907,13860.465517241399,0.676874266475545,0.0,0.0,0.0,0.0,0.0
63,Snohomish_Washington,822083,393.341148325359,1.8662153908988601,10.3192622161909,0.0,0.0,0.0,0.0
64,Maricopa_Arizona,4485414,486.276452732003,3.97628370379003,5.28459521481004,0.0,0.0,0.0,0.0
65,Los Angeles_California,10039107,2472.68645320197,0.0,0.763662208380237,0.0,0.0,0.0,0.0
66,Orange_California,3175692,3349.88607594937,0.763662208380237,0.0,0.0,0.0,0.0,0.0
67,San Francisco_California,881549,18756.3617021277,0.0,0.0,0.0,0.0,0.0,0.0
