,Population,Pop_Density,Nearest_Hospital,Nearest_BigCity,day_before_cases,day_before_deaths
3055,77200,26.4202600958248,1.4182145155208798,10.2808977623888,1.0,1.0
3056,488241,777.453821656051,1.87334570207428,8.02365190890344,3.0,0.0
3057,3985,4.5857307249712305,1.41798770192419,9.67067429783817,1.0,0.0
3058,97733,36.4539350988437,1.4904738532898198,9.91642148083838,1.0,0.0
3059,75061,39.1554512258738,3.1196503802920894,9.48353129882465,1.0,0.0
3060,85141,407.373205741627,2.4569448802767004,10.3953138536376,6.0,0.0
3061,32221,17.8114980652294,3.1048388346612503,10.0606851674893,3.0,0.0
3062,2252782,1059.6340545625599,1.50720813848504,9.757936170401528,421.0,38.0
3063,271473,685.537878787879,2.23999331766668,9.884765901460062,5.0,0.0
3064,47935,20.868524161950397,0.6703910370292591,9.536708265106789,3.0,0.0
3065,22425,11.979166666666698,0.5865574624045811,8.28647543800241,1.0,0.0
3066,80707,33.516196013289,1.65892321437686,8.82553344970011,1.0,0.0
3067,10939,4.73344872349632,1.01574627196031,10.6151814897784,1.0,0.0
3068,904980,539.9642004773269,1.51836480610418,9.29155559952758,29.0,0.0
3069,129205,74.46974063400579,2.2704491789713703,10.7506143309949,4.0,0.0
3070,822083,393.341148325359,1.8662153908988601,10.3192622161909,175.0,3.0
3071,522798,296.37074829932004,0.0,11.0786777628787,7.0,0.0
3072,290536,399.636863823934,2.14361896500627,9.18534278409434,4.0,0.0
3073,60760,47.8425196850394,1.75648986373624,9.357902475591539,1.0,0.0
3074,229247,108.135377358491,2.5719306076491804,11.091584562370699,3.0,0.0
3075,250873,58.3968808193668,0.0,8.869779031486981,4.0,0.0
3076,546695,456.62941431960195,1.45129531736424,1.45129531736424,6.0,0.0
3077,103403,143.705093461191,0.9124248552021741,0.9124248552021741,11.0,0.0
3078,945726,3917.67191383596,0.0,0.0,7.0,0.0
3079,187885,294.712322750659,1.49634216142454,1.49634216142454,,
3080,42754,74.51677559912851,1.53958311355486,0.738925847266057,1.0,0.0
3081,196311,590.4090225563909,0.2733081104709,0.2733081104709,1.0,0.0
3082,115340,225.595086744773,0.716459984010603,0.716459984010603,3.0,0.0
3083,404198,735.480466546573,0.337249265748389,0.337249265748389,3.0,0.0
3084,171907,395.652374047734,1.26136363700788,1.26136363700788,1.0,0.0
3085,72999,92.04029655033291,1.20525275597928,2.5311110842313997,,
3086,39261,4.27540019601437,4.40687660972836,13.0648002066656,1.0,0.0
3087,30485,12.0828378913991,4.9407294416306,13.789364208170001,2.0,0.0
3088,223234,140.418171067695,0.48967920440671603,5.72859946987559,1.0,0.0
3089,81209,131.3041650498,0.382823016212029,5.78663202830909,1.0,0.0
3090,658573,592.625620905622,0.685211252303573,7.003089503520759,17.0,0.0
3091,164542,270.833196168154,0.9390730576163392,5.35933227162651,1.0,0.0
3092,98915,176.652855663107,1.6182278226722198,7.0788327773478,1.0,0.0
3093,372909,465.2116418618,1.76889299980383,7.190484926388071,,
3094,226486,288.793114440548,0.0,5.52811100185003,2.0,0.0
3095,217702,277.35212057126097,0.8634399747948621,6.63414595702216,3.0,0.0
3096,209355,158.39228295819902,0.0,7.19421534985771,3.0,0.0
3097,96849,13.203680981595099,31.6855120023252,36.2528575881584,2.0,0.0
3098,13901,2.86205476631666,13.708693426730198,19.7614423220564,,
3099,38837,8.36823960353372,3.83226097901742,7.9139114958937595,1.0,0.0
3100,4485414,486.276452732003,3.97628370379003,5.28459521481004,8.0,0.0
3101,110924,11.138066070890698,5.46521054618387,7.63400393480115,,
3102,1047279,113.97094351942499,5.035608308664849,6.187217954274111,4.0,0.0
3103,462789,86.1163007071083,5.20565257013675,6.46883991935532,5.0,0.0
3104,24919,42.0993056376814,2.98224373340945,7.579432552517541,1.0,0.0
3105,7956,13.2865731462926,4.29171831200922,9.06624720185623,1.0,0.0
3106,11361,13.8629929714955,3.76874223347352,8.71804353524472,1.0,0.0
3107,99386,135.29820166900402,3.18880600242896,9.01167497657509,2.0,0.0
3108,66824,73.13560249534859,3.8396516591742405,8.61690236667535,5.0,0.0
3109,13024,22.762465700753303,4.00031182132886,8.81012459942317,1.0,0.0
