State,County,Area (sqmi)
California,Napa County,754.0
California,Nevada County,958.0
California,Orange County,948.0
California,Placer County,1407.0
California,Plumas County,2554.0
California,Riverside County,7208.0
California,Sacramento County,966.0
California,San Benito County,1389.0
California,San Bernardino County,20062.0
California,San Diego County,4204.0
California,San Francisco,47.0
California,San Joaquin County,1399.0
California,San Luis Obispo County,3304.0
California,San Mateo County,449.0
California,Santa Barbara County,2738.0
California,Santa Clara County,1291.0
California,Santa Cruz County,446.0
California,Shasta County,3786.0
California,Sierra County,953.0
California,Siskiyou County,6287.0
California,Solano County,828.0
California,Sonoma County,1576.0
California,Stanislaus County,1495.0
California,Sutter County,603.0
California,Tehama County,2951.0
California,Trinity County,3179.0
California,Tulare County,4824.0
California,Tuolumne County,2236.0
California,Ventura County,1846.0
California,Yolo County,1012.0
California,Yuba County,630.0
Colorado,Adams County,1182.29
Colorado,Alamosa County,723.21
Colorado,Arapahoe County,804.41
Colorado,Archuleta County,1354.53
Colorado,Baca County,2558.48
Colorado,Bent County,1541.07
Colorado,Boulder County,740.48
Colorado,City and County of Broomfield,33.57
Colorado,Chaffee County,1014.12
Colorado,Cheyenne County,1781.9
Colorado,Clear Creek County,396.53
Colorado,Conejos County,1290.22
Colorado,Costilla County,1229.38
Colorado,Crowley County,800.27
Colorado,Custer County,739.24
Colorado,Delta County,1149.44
Colorado,City and County of Denver,155.66
Colorado,Dolores County,1076.93
Colorado,Douglas County,842.3
Colorado,Eagle County,1700.76
Colorado,El Paso County,2128.6
Colorado,Elbert County,1849.08
Colorado,Fremont County,1533.09
Colorado,Garfield County,2958.23
Colorado,Gilpin County,150.15
Colorado,Grand County,1868.53
Colorado,Gunnison County,3259.22
Colorado,Hinsdale County,1123.35
Colorado,Huerfano County,1592.37
Colorado,Jackson County,1619.75
Colorado,Jefferson County,772.85
Colorado,Kiowa County,1785.9
Colorado,Kit Carson County,2162.43
Colorado,La Plata County,1700.44
Colorado,Lake County,383.55
Colorado,Larimer County,2631.75
Colorado,Las Animas County,4773.27
Colorado,Lincoln County,2585.21
Colorado,Logan County,1845.31
Colorado,Mesa County,3345.69
Colorado,Mineral County,878.16
Colorado,Moffat County,4755.86
Colorado,Montezuma County,2035.8
Colorado,Montrose County,2246.43
Colorado,Morgan County,1293.83
Colorado,Otero County,1267.66
Colorado,Ouray County,542.3
Colorado,Park County,2209.36
Colorado,Phillips County,688.3
Colorado,Pitkin County,970.37
Colorado,Prowers County,1645.37
Colorado,Pueblo County,2396.77
Colorado,Rio Blanco County,3226.24
Colorado,Rio Grande County,913.1
Colorado,Routt County,2362.11
