FIPS,Lat,Long_
5077.0,34.78498904,-90.78383866
5079.0,33.95317155,-91.74002806
5081.0,33.70375665,-94.23468591
5083.0,35.21413234,-93.71951016
5085.0,34.75392199,-91.88742357
5087.0,36.01038185,-93.72524943
5089.0,36.26844485,-92.68451899
5091.0,33.31403423,-93.89285258
5093.0,35.76271485,-90.05194370000002
5095.0,34.6815935,-91.20540287
5097.0,34.53704874,-93.65824478
5099.0,33.66340119,-93.30632432
5101.0,35.91947491,-93.21612969
5103.0,33.58839816,-92.87795984
5105.0,34.9459153,-92.94372564
5107.0,34.43268455,-90.84800154
5109.0,34.16250414,-93.65789349
5111.0,35.57433534,-90.66268713
5113.0,34.48254879,-94.22728802
5115.0,35.44871474,-93.03212219
5117.0,34.83624419,-91.55162157
5119.0,34.77054088,-92.31355101
5121.0,36.3415714,-91.02455531
5123.0,35.02201976,-90.74828138
5125.0,34.64916145,-92.67583224
5127.0,34.85588887,-94.0632176
5129.0,35.9109364,-92.69936482
5131.0,35.19605503,-94.27162713
5133.0,33.99780401,-94.2424869
5135.0,36.16258158,-91.47819342
5137.0,35.86251946,-92.15684085
5139.0,33.16887091,-92.59746952
5141.0,35.58095779,-92.51295036
5143.0,35.976844,-94.21800746
5145.0,35.25688493,-91.74908296
5147.0,35.18902527,-91.2439489
5149.0,35.00292371,-93.41171338
6001.0,37.64629437,-121.8929271
6003.0,38.59678594,-119.8223594
6005.0,38.44583082,-120.65696
6007.0,39.66727762,-121.6005252
6009.0,38.20537103,-120.552913
6011.0,39.17881957,-122.2331726
6013.0,37.91923498,-121.9289527
6015.0,41.74228275,-123.8974063
6017.0,38.77965956,-120.5233166
6019.0,36.75733899,-119.6466953
6021.0,39.59875897,-122.3938452
6023.0,40.69923009,-123.876044
6025.0,33.0393082,-115.3669042
6027.0,36.51112084,-117.41119779999998
6029.0,35.34329425,-118.7277796
6031.0,36.07409056,-119.8159973
6033.0,39.10124298,-122.7536244
6035.0,40.67311306,-120.59350990000002
6037.0,34.30828379,-118.2282411
6039.0,37.21513971,-119.76655890000002
6041.0,38.07122463,-122.7210631
6043.0,37.57978556,-119.9073334
6045.0,39.4381191,-123.3911313
6047.0,37.18922369,-120.7209035
6049.0,41.58965602,-120.7244817
6051.0,37.93899289,-118.8872409
6053.0,36.21862405,-121.2413397
6055.0,38.50735751,-122.332839
6057.0,39.30394768,-120.7627281
6059.0,33.70147516,-117.76459979999998
6061.0,39.06167234,-120.7240569
6063.0,40.00355989,-120.8395236
6065.0,33.74314981,-115.9933578
6067.0,38.45106826,-121.3425374
6069.0,36.60308176,-121.069975
6071.0,34.84060306,-116.1774685
6073.0,33.03484597,-116.7365326
6075.0,37.75215114,-122.4385672
6077.0,37.93433732,-121.2730061
6079.0,35.38822029,-120.4039028
6081.0,37.4228808,-122.32755459999998
6083.0,34.65329488,-120.0188492
6085.0,37.23104908,-121.6970462
6087.0,37.05580291,-122.0066524
6089.0,40.76391419,-122.0396884
6091.0,39.57713498,-120.52007009999998
6093.0,41.59198861,-122.5407434
6095.0,38.26827353,-121.9357113
6097.0,38.52746429,-122.8862506
6099.0,37.55862499,-120.9970722
6101.0,39.03417539,-121.6945899
6103.0,40.12570935,-122.2370171
6105.0,40.64917670000001,-123.114713
6107.0,36.22026558,-118.8020203
6109.0,38.02644018,-119.9525093
6111.0,34.44465746,-119.0910613
6113.0,38.68278902,-121.9018288
6115.0,39.26255932,-121.3535644
8001.0,39.87432092,-104.3362578
8003.0,37.57250606,-105.7885451
8005.0,39.64977461,-104.3353617
8007.0,37.19474156,-107.0476867
8009.0,37.31940883,-102.5603223
8011.0,37.95474293,-103.0720195
8013.0,40.09313619,-105.3546767
8014.0,39.95998787,-105.0566324
8015.0,38.74745778,-106.19265729999998
8017.0,38.82777431,-102.6032558
8019.0,39.68864463,-105.6463118
8021.0,37.201606,-106.19174879999998
8023.0,37.27732493,-105.4276548
8025.0,38.32608609,-103.7844965
8027.0,38.10883162,-105.3683478
